WKT,Name,Beschreibung,OSM,Generated
POINT (13.3691772 52.5201621),Bundeskanzleramt,,"German Chancellery, 1, Willy-Brandt-Straße, Tiergarten, Mitte, Berlin, 10557, Germany",False
POINT (13.3710967 52.5210557),Schweizerische Botschaft,,"Embassy of Switzerland, 4A, Otto-von-Bismarck-Allee, Tiergarten, Mitte, Berlin, 10557, Germany",False
POINT (13.4094849 52.5123804),Australische Botschaft,,"52.51238, 13.40948",False
POINT (13.3836162 52.5239091),Botschaft der Ukraine,,"52.5239, 13.38361",False
POINT (13.4166118 52.5139428),Chinesische Botschaft,,"52.51394, 13.41661",False
POINT (13.3747347 52.5284624),Wirtschaftsministerium,,"52.52846, 13.37473",False
POINT (13.3641658 52.5225046),Innenministerium,,"52.5225, 13.36416",False
POINT (13.3843408 52.5089662),Finanzministerium,,"52.50896, 13.38434",False
POINT (13.3812006 52.5091613),Bundesrat,,"Federal Council, 3-4, Leipziger Straße, Mitte, Berlin, 10117, Germany",False
POINT (13.3988948 52.5152113),Auswärtiges Amt,,"Foreign Office, 1, Werderscher Markt, Friedrichswerder, Mitte, Berlin, 10117, Germany",False
POINT (13.3926535 52.5136392),Schillerbrunnen,auf dem Gendarmenmarkt,"Gendarmenmarkt, Friedrichswerder, Mitte, Berlin, Germany",False
POINT (13.3844489 52.5126121),Arbeitsministerium,,"52.51261, 13.38444",False
POINT (13.3890113 52.5183665),Dussmann,in der Friedrichstraße,"Dussmann das KulturKaufhaus, 90, Friedrichstraße, Dorotheenstadt, Mitte, Berlin, 10117, Germany",False
POINT (13.3865846 52.5136162),Familienministerium,,"52.51361, 13.38658",False
POINT (13.3879228 52.5246689),Gesundheitsministerium,,"52.52466, 13.38792",False
POINT (13.3963256 52.5121079),Justizministerium,,"52.5121, 13.39632",False
POINT (13.3783804 52.5295388),Verkehrsministerium,,"52.52953, 13.37838",False
POINT (13.3082962 52.5172586),Sozialamt Charlottenburg,,"52.51725, 13.30829",False
